ID,Feature_Module,Endpoint_Path,HTTP_Method,Operation_Description,Integration_Status,Repository_File,Model_DTO,UI_Screen_Route
1,Epic 01 - Auth & Security,/api/auth/login,POST,Authenticate user and obtain JWT token,Integrated & Live Verified,lib/features/auth/data/auth_repository.dart,AuthResponseDto,LoginScreen (/login)
2,Epic 01 - Auth & Security,/api/users/change-password,POST,Change user account password,Integrated & Live Verified,lib/features/auth/data/auth_repository.dart,ChangePasswordDto,AppSettingsScreen (/more)
3,Epic 01 - Auth & Security,/api/users,GET,List all system user accounts,Integrated & Live Verified,lib/features/auth/data/auth_repository.dart,UserDto,AppSettingsScreen (/more)
4,Epic 01 - Auth & Security,/api/users,POST,Create new user account,Integrated & Live Verified,lib/features/auth/data/auth_repository.dart,UserDto,AppSettingsScreen (/more)
5,Epic 01 - Auth & Security,/api/users/{id},GET,Get user details by ID,Integrated & Live Verified,lib/features/auth/data/auth_repository.dart,UserDto,AppSettingsScreen (/more)
6,Epic 01 - Auth & Security,/api/users/{id},PUT,Update user profile and permissions,Integrated & Live Verified,lib/features/auth/data/auth_repository.dart,UserDto,AppSettingsScreen (/more)
7,Epic 01 - Auth & Security,/api/users/{id},DELETE,Deactivate or remove user account,Integrated & Live Verified,lib/features/auth/data/auth_repository.dart,UserDto,AppSettingsScreen (/more)
8,Epic 01 - Settings & Roles,/api/app-settings,GET,List global application settings,Integrated & Live Verified,lib/features/auth/data/auth_repository.dart,AppSettingDto,AppSettingsScreen (/more)
9,Epic 01 - Settings & Roles,/api/app-settings,POST,Create new application setting,Integrated & Live Verified,lib/features/auth/data/auth_repository.dart,AppSettingDto,AppSettingsScreen (/more)
10,Epic 01 - Settings & Roles,/api/app-settings/{id},GET,Get application setting by ID,Integrated & Live Verified,lib/features/auth/data/auth_repository.dart,AppSettingDto,AppSettingsScreen (/more)
11,Epic 01 - Settings & Roles,/api/app-settings/{id},PUT,Update application setting,Integrated & Live Verified,lib/features/auth/data/auth_repository.dart,AppSettingDto,AppSettingsScreen (/more)
12,Epic 01 - Settings & Roles,/api/app-settings/{id},DELETE,Delete application setting,Integrated & Live Verified,lib/features/auth/data/auth_repository.dart,AppSettingDto,AppSettingsScreen (/more)
13,Epic 01 - Settings & Roles,/api/company-settings,GET,List company configuration and profile,Integrated & Live Verified,lib/features/auth/data/auth_repository.dart,CompanySettingDto,AppSettingsScreen (/more)
14,Epic 01 - Settings & Roles,/api/company-settings,POST,Create company profile,Integrated & Live Verified,lib/features/auth/data/auth_repository.dart,CompanySettingDto,AppSettingsScreen (/more)
15,Epic 01 - Settings & Roles,/api/company-settings/{id},GET,Get company setting by ID,Integrated & Live Verified,lib/features/auth/data/auth_repository.dart,CompanySettingDto,AppSettingsScreen (/more)
16,Epic 01 - Settings & Roles,/api/company-settings/{id},PUT,Update company profile and tax info,Integrated & Live Verified,lib/features/auth/data/auth_repository.dart,CompanySettingDto,AppSettingsScreen (/more)
17,Epic 01 - Settings & Roles,/api/company-settings/{id},DELETE,Delete company setting,Integrated & Live Verified,lib/features/auth/data/auth_repository.dart,CompanySettingDto,AppSettingsScreen (/more)
18,Epic 01 - Settings & Roles,/api/roles,GET,List user RBAC security roles,Integrated & Live Verified,lib/features/auth/data/auth_repository.dart,RoleDto,AppSettingsScreen (/more)
19,Epic 01 - Settings & Roles,/api/roles,POST,Create security role,Integrated & Live Verified,lib/features/auth/data/auth_repository.dart,RoleDto,AppSettingsScreen (/more)
20,Epic 01 - Settings & Roles,/api/roles/{id},GET,Get security role by ID,Integrated & Live Verified,lib/features/auth/data/auth_repository.dart,RoleDto,AppSettingsScreen (/more)
21,Epic 01 - Settings & Roles,/api/roles/{id},PUT,Update security role permissions,Integrated & Live Verified,lib/features/auth/data/auth_repository.dart,RoleDto,AppSettingsScreen (/more)
22,Epic 01 - Settings & Roles,/api/roles/{id},DELETE,Delete security role,Integrated & Live Verified,lib/features/auth/data/auth_repository.dart,RoleDto,AppSettingsScreen (/more)
23,Epic 02 - Core Master Data,/api/categories,GET,List item categories,Integrated & Live Verified,lib/features/masters/data/repositories/category_repository.dart,CategoryDto,CategoryScreen (/masters/categories)
24,Epic 02 - Core Master Data,/api/categories,POST,Create item category,Integrated & Live Verified,lib/features/masters/data/repositories/category_repository.dart,CategoryDto,CategoryScreen (/masters/categories)
25,Epic 02 - Core Master Data,/api/categories/{id},GET,Get category by ID,Integrated & Live Verified,lib/features/masters/data/repositories/category_repository.dart,CategoryDto,CategoryScreen (/masters/categories)
